"['Florida Gas Transmission Company, LLC']","06/01/2017"," 06/30/2017","66650","65000 < num_entries < 250000"
"['Florida Gas Transmission Company, LLC']","07/01/2017"," 07/31/2017","68802","65000 < num_entries < 250000"
"['Florida Gas Transmission Company, LLC']","08/01/2017"," 08/31/2017","68816","65000 < num_entries < 250000"
"['Florida Gas Transmission Company, LLC']","09/01/2017"," 09/30/2017","66836","65000 < num_entries < 250000"
"['Florida Gas Transmission Company, LLC']","10/01/2017"," 10/31/2017","69090","65000 < num_entries < 250000"
"['Florida Gas Transmission Company, LLC']","11/01/2017"," 11/30/2017","66577","65000 < num_entries < 250000"
"['Florida Gas Transmission Company, LLC']","12/01/2017"," 12/31/2017","68415","65000 < num_entries < 250000"
"['Gulf South Pipeline Company, LP']","01/01/2017"," 01/31/2017","139040","65000 < num_entries < 250000"
"['Gulf South Pipeline Company, LP']","02/01/2017"," 02/28/2017","125379","65000 < num_entries < 250000"
"['Gulf South Pipeline Company, LP']","03/01/2017"," 03/31/2017","138455","65000 < num_entries < 250000"
"['Gulf South Pipeline Company, LP']","04/01/2017"," 04/30/2017","133872","65000 < num_entries < 250000"
"['Gulf South Pipeline Company, LP']","05/01/2017"," 05/31/2017","137899","65000 < num_entries < 250000"
"['Gulf South Pipeline Company, LP']","06/01/2017"," 06/30/2017","133889","65000 < num_entries < 250000"
"['Gulf South Pipeline Company, LP']","07/01/2017"," 07/31/2017","138400","65000 < num_entries < 250000"
"['Gulf South Pipeline Company, LP']","08/01/2017"," 08/31/2017","138158","65000 < num_entries < 250000"
"['Gulf South Pipeline Company, LP']","09/01/2017"," 09/30/2017","133568","65000 < num_entries < 250000"
"['Gulf South Pipeline Company, LP']","10/01/2017"," 10/31/2017","137816","65000 < num_entries < 250000"
"['Gulf South Pipeline Company, LP']","11/01/2017"," 11/30/2017","133889","65000 < num_entries < 250000"
"['Gulf South Pipeline Company, LP']","12/01/2017"," 12/31/2017","138240","65000 < num_entries < 250000"
"['Natural Gas Pipeline Company of America LLC']","01/01/2017"," 01/31/2017","110007","65000 < num_entries < 250000"
"['Natural Gas Pipeline Company of America LLC']","02/01/2017"," 02/28/2017","99359","65000 < num_entries < 250000"
"['Natural Gas Pipeline Company of America LLC']","03/01/2017"," 03/31/2017","110734","65000 < num_entries < 250000"
"['Natural Gas Pipeline Company of America LLC']","04/01/2017"," 04/30/2017","107260","65000 < num_entries < 250000"
"['Natural Gas Pipeline Company of America LLC']","05/01/2017"," 05/31/2017","110767","65000 < num_entries < 250000"
"['Natural Gas Pipeline Company of America LLC']","06/01/2017"," 06/30/2017","107375","65000 < num_entries < 250000"
"['Natural Gas Pipeline Company of America LLC']","07/01/2017"," 07/31/2017","110792","65000 < num_entries < 250000"
"['Natural Gas Pipeline Company of America LLC']","08/01/2017"," 08/31/2017","110720","65000 < num_entries < 250000"
"['Natural Gas Pipeline Company of America LLC']","09/01/2017"," 09/30/2017","107260","65000 < num_entries < 250000"
"['Natural Gas Pipeline Company of America LLC']","10/01/2017"," 10/31/2017","110720","65000 < num_entries < 250000"
"['Natural Gas Pipeline Company of America LLC']","11/01/2017"," 11/30/2017","107109","65000 < num_entries < 250000"
"['Natural Gas Pipeline Company of America LLC']","12/01/2017"," 12/31/2017","110578","65000 < num_entries < 250000"
"['Nexus']","01/01/2017"," 01/31/2017","0","0 entries"

